date,states,positive,negative,posneg,pending,hospitalized,death,total,hash,datechecked,totaltestresults,fips,deathincrease,hospitalizedincrease,negativeincrease,positiveincrease,totaltestresultsincrease
2020-03-30,56,160530,784324,944854,65382,22303,2939,1010236,5d6b80da84d18b345f21f914f55a72520c680310,2020-03-30 20:00:00,944854,,511,2573,92034,21469,113503
2020-03-29,56,139061,692290,831351,65549,19730,2428,896900,0bcb1178e16a889408a98222caae4bd49fe3d9b8,2020-03-29 20:00:00,831351,,463,3001,74820,20827,95647
2020-03-28,56,118234,617470,735704,65712,16729,1965,801416,a54933aec2de2cb0f418ffbc85c6c58d7481be77,2020-03-28 20:00:00,735704,,435,3011,90250,18821,109071
2020-03-27,56,99413,527220,626633,60094,13718,1530,686727,5e9611f927d035074ac65594ad30669ef8299d75,2020-03-27 20:00:00,626633,,367,3587,88617,18678,107295
2020-03-26,56,80735,438603,519338,60251,10131,1163,579589,77e73bd9ca5316e76685e4fd31fd7adbd7ba4f45,2020-03-26 20:00:00,519338,,263,3995,80999,16807,97806
2020-03-25,56,63928,357604,421532,51235,6136,900,472767,99e1bdff6a809d12b2e76a9e7c8a678d32a6f670,2020-03-25 20:00:00,421532,,225,1668,64846,11974,76820
2020-03-24,56,51954,292758,344712,14433,4468,675,359145,eaedae24caa3d2c2dcbad823b248b729972e9960,2020-03-24 20:00:00,344712,,204,1143,55437,9802,65239
2020-03-23,56,42152,237321,279473,14571,3325,471,294044,cca0aa4d7ad5221bf9e3b542fb56c03418b79874,2020-03-23 20:00:00,279473,,73,771,43858,10273,54131
2020-03-22,56,31879,193463,225342,2842,2554,398,228184,4ddfea6db6efb8e01a42ec214683d40e027d6ca4,2020-03-22 20:00:00,225342,,126,590,37554,8682,46236
2020-03-21,56,23197,155909,179106,3477,1964,272,182583,39478e9dce6b5cc5aaad9f739717901eedb39f37,2020-03-21 20:00:00,179106,,53,1964,37762,6164,43926
2020-03-20,56,17033,118147,135180,3336,,219,138516,aaf56d31162893b8ed4088e8e5fea3d12abf347c,2020-03-20 20:00:00,135180,,59,0,29028,5314,34342
2020-03-19,56,11719,89119,100838,3025,,160,103863,7623e7310b3e771e902ddd3ebda1062d7986de12,2020-03-19 20:00:00,100838,,48,0,22894,3989,26883
2020-03-18,56,7730,66225,73955,2538,,112,76493,6ba9221454932967dfcd905939935279ddaa60bc,2020-03-18 20:00:00,73955,,22,0,18621,2007,20628
2020-03-17,56,5723,47604,53327,1687,,90,55014,5adfb17cd4248989f19454445254647e51995f45,2020-03-17 20:00:00,53327,,19,0,11500,1704,13204
2020-03-16,56,4019,36104,40123,1691,,71,41814,b8efad181c27ce451d40d1b430de99a21620d602,2020-03-16 20:00:00,40123,,11,0,13553,846,14399
2020-03-15,51,3173,22551,25724,2242,,60,27966,3e3820fc7fbe88e923060a7b75c8506fe797a00c,2020-03-15 20:00:00,25724,,11,0,5449,723,6172
2020-03-14,51,2450,17102,19552,1236,,49,20788,7d5dd816ce2a12c70efa317e2a82966ea55c769f,2020-03-14 20:00:00,19552,,10,0,3489,528,4017
2020-03-13,51,1922,13613,15535,1130,,39,16665,be4544684940c3f794b18f508ee5627717c1520b,2020-03-13 20:00:00,15535,,3,0,5572,607,6179
2020-03-12,51,1315,8041,9356,673,,36,10029,30ec5dc148643abf3ced48dfa6d82ec64a99432f,2020-03-12 20:00:00,9356,,9,0,1971,262,2233
2020-03-11,51,1053,6070,7123,563,,27,7686,57d5e641fcdafe4c971a08d974455eee69793f6d,2020-03-11 20:00:00,7123,,27,0,2263,275,2538
2020-03-10,51,778,3807,4585,469,,,5054,295470d18dd1292bbd9f3b0b581f97f3eeca8434,2020-03-10 20:00:00,4585,,0,0,440,194,634
2020-03-09,51,584,3367,3951,313,,,4264,3cf057856a6c6ddd434a2408cf0474839aedac15,2020-03-09 20:00:00,3951,,0,0,1032,167,1199
2020-03-08,51,417,2335,2752,347,,,3099,e542d45c66790bf4890d13db6b1dd244f935a5d5,2020-03-08 20:00:00,2752,,0,0,526,76,602
2020-03-07,51,341,1809,2150,602,,,2752,b691eb4f26856e90f480740f5862b47292103d3c,2020-03-07 21:00:00,2150,,0,0,238,118,356
2020-03-06,36,223,1571,1794,458,,,2252,c5199ba59ab55d81589cabcf1ab8ca0a033e6f4b,2020-03-06 21:00:00,1794,,0,0,618,47,665
2020-03-05,24,176,953,1129,197,,,1326,3bf0e759adb84cc82c91d3e56e8e84993c103789,2020-03-05 21:00:00,1129,,0,0,205,58,263
